Year,Black or African American alone,American Indian and Alaska Native alone,Asian alone,Native Hawaiian and Other Pacific Islander alone,Hispanic or Latino (of any race),White alone (non-Hispanic),Some other race (non-Hispanic),Two or more races (non-Hispanic)
2013,2687057,178224,300251,42168,1475828,17349880,67211,198731
2014,2688702,178183,299857,42643,1488615,17032870,68764.5,199473.5
2015,2686072,177887,299129,43032,1499441,16704939,70241,199793
2016,2683046,177567,298541,43409,1511085,16382745,71810,199953
2017,2680267,177265,298271,43775,1524257,16068293,73499.5,199932.5
2018,2676178,176889,298075,44084,1537392,15753802,75203,199645
2019,2671604,176467,298081,44353,1551164,15443842,77006.5,199098.5
2020,2667060,176042,298421,44595,1566234,15140728,78951.5,198323.5
2021,2660760,175435,298790,44766,1580739,14835973,80922.5,197217.5
2022,2654047,174761,299383,44898,1596084,14535719,82998.5,195897.5
2023,2646519,174004,300153,44990,1611958,14238561,85162.5,194362.5
2024,2638185,173157,301094,45049,1628316,13945349,87401,192651
2025,2629101,172211,302215,45067,1645307,13656862,89730.5,190804.5
2026,2619397,171178,303502,45065,1663111,13373814,92160,188868
2027,2609858,170117,305125,45072,1682700,13099526,94768,186877
2028,2599235,168949,306870,45049,1702752,12828722,97470,184788
2029,2587479,167679,308700,44997,1723238,12561108,100250,182625
2030,2574594,166311,310606,44927,1744151,12297108,103100,180414
2031,2560568,164849,312588,44843,1765488,12036645,106006.5,178160.5
2032,2545309,163293,314625,44747,1787234,11779461,108973.5,175859.5
2033,2528734,161663,316728,44634,1809359,11525090,111993,173517
2034,2510935,159954,318900,44507,1831901,11274722,115061.5,171139.5
2035,2492056,158185,321142,44356,1854889,11029159,118171,168720
2036,2472181,156370,323486,44179,1878387,10789287,121315.5,166264.5
2037,2451159,154499,325884,43986,1902171,10553068,124493.5,163754.5
2038,2429165,152581,328379,43779,1926362,10323828,127711,161197
2039,2406532,150670,331006,43560,1951033,10104582,130962.5,158620.5
2040,2383470,148784,333756,43333,1976190,9897051,134239,156052
2041,2360178,146930,336634,43095,2001921,9702361,137554,153495
2042,2336811,145115,339655,42849,2028242,9520333,140913.5,150960.5
2043,2313370,143331,342796,42601,2055100,9349551,144313,148444
